                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.46897,                0.34936,                0.91325,                0.95234,                0.93952,                0.97482,                0.89665,                0.38032,                 0.2604,                0.81056,             9.7087e-05,             9.7087e-05,             9.7087e-05
                     95,                0.46833,                0.34747,                0.90095,                0.94909,                  0.937,                0.97437,                0.90006,                0.38071,                0.25592,                0.81034,             9.6852e-05,             9.6852e-05,             9.6852e-05
                     96,                0.45363,                0.33677,                0.88443,                0.94604,                0.93501,                0.97634,                0.90376,                0.37359,                0.25905,                0.80985,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     97,                0.44948,                0.33985,                0.89666,                0.94666,                0.94534,                0.97768,                0.90213,                0.36529,                0.25549,                0.80883,              9.638e-05,              9.638e-05,              9.638e-05
                     98,                0.44698,                0.34856,                0.89535,                0.94719,                0.94522,                0.97781,                  0.903,                0.36545,                0.25363,                 0.8093,             9.6145e-05,             9.6145e-05,             9.6145e-05
                     99,                0.43599,                 0.3246,                0.89459,                0.94776,                0.94467,                0.97721,                0.90412,                0.35977,                0.25207,                0.80726,             9.5909e-05,             9.5909e-05,             9.5909e-05
                    100,                0.47717,                0.34187,                 0.9022,                0.95178,                0.94118,                0.97643,                0.90428,                0.35713,                0.24879,                0.80619,             9.5674e-05,             9.5674e-05,             9.5674e-05
                    101,                0.46462,                0.34612,                0.90363,                0.95546,                0.94007,                0.97667,                0.90767,                 0.3572,                0.24784,                0.80619,             9.5438e-05,             9.5438e-05,             9.5438e-05
                    102,                  0.453,                0.33192,                0.89435,                0.94602,                0.94552,                0.97794,                0.91208,                0.35902,                0.24699,                0.80677,             9.5202e-05,             9.5202e-05,             9.5202e-05
                    103,                0.44081,                0.34389,                0.90477,                0.95282,                0.93755,                0.97374,                0.91269,                0.35249,                0.24657,                0.80576,             9.4967e-05,             9.4967e-05,             9.4967e-05
                    104,                0.44169,                0.31875,                0.89019,                0.95693,                0.94083,                0.97305,                0.91093,                0.34957,                0.24302,                0.80608,             9.4731e-05,             9.4731e-05,             9.4731e-05
                    105,                0.44944,                0.33848,                 0.9037,                0.94829,                0.94762,                0.97315,                0.90635,                0.35523,                 0.2448,                0.80631,             9.4496e-05,             9.4496e-05,             9.4496e-05
                    106,                0.42802,                0.32413,                0.90829,                0.94799,                0.94709,                 0.9743,                0.90715,                0.35768,                0.24438,                0.80485,              9.426e-05,              9.426e-05,              9.426e-05
                    107,                0.46005,                0.33215,                0.89977,                0.94814,                0.94601,                0.97249,                0.90789,                0.35307,                0.24094,                0.80406,             9.4024e-05,             9.4024e-05,             9.4024e-05
                    108,                0.44798,                0.33839,                0.90961,                0.95189,                0.94396,                0.97338,                0.90754,                 0.3529,                0.24448,                0.80401,             9.3789e-05,             9.3789e-05,             9.3789e-05
                    109,                0.45673,                0.35055,                0.91412,                0.92413,                0.95214,                 0.9722,                0.90874,                0.35594,                0.24705,                0.80541,             9.3553e-05,             9.3553e-05,             9.3553e-05
                    110,                0.44379,                0.34511,                0.89004,                0.91672,                0.95482,                0.97144,                0.90659,                0.35289,                0.25007,                  0.804,             9.3317e-05,             9.3317e-05,             9.3317e-05
                    111,                0.42147,                0.32212,                0.89035,                0.94873,                0.92795,                0.97218,                0.90929,                0.35311,                0.25089,                0.80304,             9.3082e-05,             9.3082e-05,             9.3082e-05
                    112,                0.45935,                0.33727,                0.89317,                0.95712,                0.92243,                0.97419,                0.90895,                0.35345,                 0.2519,                0.80263,             9.2846e-05,             9.2846e-05,             9.2846e-05
                    113,                0.41944,                0.32927,                0.89607,                0.90103,                0.96803,                0.97407,                0.90321,                0.35486,                0.24934,                0.80263,             9.2611e-05,             9.2611e-05,             9.2611e-05
                    114,                0.43048,                0.33126,                0.88786,                0.94496,                0.93452,                0.97163,                0.90292,                0.35036,                0.24597,                0.80135,             9.2375e-05,             9.2375e-05,             9.2375e-05
                    115,                0.47186,                0.34989,                0.92452,                0.94761,                0.93665,                 0.9709,                0.90409,                0.35311,                0.24676,                0.80223,             9.2139e-05,             9.2139e-05,             9.2139e-05
                    116,                0.43819,                0.33626,                0.88088,                0.93808,                0.96062,                0.97367,                0.90453,                0.35698,                0.24517,                0.80345,             9.1904e-05,             9.1904e-05,             9.1904e-05
                    117,                0.45744,                0.33862,                0.90544,                0.95806,                0.95024,                0.97269,                0.90899,                0.35304,                0.24762,                0.80393,             9.1668e-05,             9.1668e-05,             9.1668e-05
                    118,                0.44332,                0.32897,                0.88965,                0.96417,                0.94323,                0.97189,                0.91194,                0.34073,                0.24444,                0.80404,             9.1432e-05,             9.1432e-05,             9.1432e-05
                    119,                0.44833,                0.33556,                0.89751,                0.96324,                0.94846,                0.97196,                0.91434,                0.34088,                0.24211,                0.80483,             9.1197e-05,             9.1197e-05,             9.1197e-05
                    120,                0.43269,                0.33463,                 0.8964,                0.96312,                0.94945,                0.97285,                0.91525,                0.34404,                0.24113,                0.80344,             9.0961e-05,             9.0961e-05,             9.0961e-05
                    121,                0.46746,                0.34019,                 0.9076,                 0.9591,                0.94849,                0.97518,                0.91665,                0.33774,                0.23892,                0.80008,             9.0726e-05,             9.0726e-05,             9.0726e-05
                    122,                0.41795,                 0.3145,                0.88872,                 0.9574,                0.94519,                0.97479,                0.91722,                0.33642,                0.23493,                0.79926,              9.049e-05,              9.049e-05,              9.049e-05
                    123,                0.44377,                0.33481,                0.88851,                 0.9578,                 0.9465,                0.97509,                0.91404,                0.34151,                0.23562,                0.79938,             9.0254e-05,             9.0254e-05,             9.0254e-05
                    124,                0.44264,                0.34345,                0.89606,                0.95909,                0.94941,                0.97564,                0.90958,                0.34917,                0.23755,                0.80121,             9.0019e-05,             9.0019e-05,             9.0019e-05
                    125,                0.42364,                0.31546,                0.89868,                0.95671,                0.94975,                0.97784,                0.91543,                0.34145,                0.23381,                0.80196,             8.9783e-05,             8.9783e-05,             8.9783e-05
                    126,                0.41761,                0.31481,                0.88002,                0.95602,                0.95035,                0.97786,                0.91802,                0.33403,                0.22884,                0.80097,             8.9547e-05,             8.9547e-05,             8.9547e-05
                    127,                0.40183,                0.31037,                0.88537,                0.95984,                0.95103,                0.97708,                 0.9203,                0.34158,                 0.2291,                0.80122,             8.9312e-05,             8.9312e-05,             8.9312e-05
                    128,                0.42559,                0.31914,                0.89095,                0.96059,                0.95141,                  0.977,                0.91932,                0.34151,                0.23236,                0.80044,             8.9076e-05,             8.9076e-05,             8.9076e-05
                    129,                0.40166,                0.30793,                0.88492,                0.95807,                0.94877,                0.97723,                0.92227,                0.33847,                0.23335,                0.79871,             8.8841e-05,             8.8841e-05,             8.8841e-05
                    130,                0.40028,                0.32496,                0.89468,                0.95538,                0.94174,                0.97772,                0.91831,                0.33946,                0.23499,                0.79827,             8.8605e-05,             8.8605e-05,             8.8605e-05
                    131,                0.41579,                0.33297,                0.90006,                0.96106,                0.94124,                0.97735,                0.91726,                0.33935,                0.23347,                0.79885,             8.8369e-05,             8.8369e-05,             8.8369e-05
                    132,                0.41448,                0.32285,                0.90176,                0.96687,                0.94082,                0.97657,                0.91884,                0.33239,                0.22875,                0.79858,             8.8134e-05,             8.8134e-05,             8.8134e-05
                    133,                0.42716,                 0.3168,                0.89131,                0.96338,                 0.9432,                0.97681,                0.91982,                0.33776,                0.23038,                0.80038,             8.7898e-05,             8.7898e-05,             8.7898e-05
                    134,                0.40276,                0.31663,                0.88162,                0.96118,                0.94553,                0.97732,                0.91899,                0.33784,                0.23284,                0.80017,             8.7663e-05,             8.7663e-05,             8.7663e-05
